,target,Subject,Precedence,Recievers_count,Sub_Unsub_link,Replied_mail,Content_type_html,Content_type_plain,Full_content,content_char,sub_char
0,0,ilug architecture crossover trouble rh solved,0,0.0,0,1,0,1,blank,0.00010924186148131964,0.007382091592617908
1,1,cash home equity,1,0.0,0,0,0,1,mortgage lender broker ready compete business whether new home loan seek refinance current home loan lower interest rate help mortgage rate low year take action refinance home u include pesky credit card bill use extra cash pool always wanted others say say yes even turned elsewhere help easy term mortgage referral service combine highest quality loan economical rate easiest qualification take minute complete following form obligation information kept strictly confidential must least year age service available within united state service fast free free information request,0.023541621149224385,0.003691045796308954
2,1,mortgage rate best lkvt rfxd,0,0.0,1,0,0,1,dear homeowner interest rate lowest point year help find best rate situation matching need hundred lender home improvement refinance second mortgage home equity loan much much eligible even less perfect credit service free home owner new home buyer without obligation others say say yes http www wiildaccess com take minute complete following form obligation information kept strictly confidential must least year age service available within united state service fast free http www wiildaccess com opt,0.01900808389774962,0.010663021189336978
3,1,online approval,1,0.02702702702702703,0,0,1,0,free card search sincerely new offer staff remove,0.001474765129997815,0.003964456596035544
4,0,ilug expanding string multiple time,0,0.02702702702702703,0,1,0,1,blank,0.00010924186148131964,0.0054682159945317835
5,1,half price cigarette tobacco,1,0.02702702702702703,0,0,0,0,blank,0.00010924186148131964,0.004511278195488721
6,1,notice,1,0.0,0,0,0,0,blank,0.00010924186148131964,0.0008202323991797675
7,0,sylpheed gnome ximian apt repos,0,0.02702702702702703,1,1,0,1,upon time lance wrote well look thing import mail setting evolution sylpheed anyone successfully run sylpheed gnome noticed apt get install gnome session rpm http apt sunnmore net gnome repository sylpheed one package selected deletion think simply sylpheed gnome application simple gtk one need gnome libs upgrading gnome keeping gtk let keep sylpheed problem matthias p expect freshrpms net minute matthias saou world trade center edificio norte planta system network engineer barcelona spain electronic group interactive phone rpm list mailing list http list freshrpms net mailman listinfo rpm list,0.02116561066200568,0.006151742993848257
8,0,curse interface nmh,0,0.02702702702702703,1,1,0,0,year ago package called mh emacs interface mh know still around work idea still around actively maintained quite well evolved useta use mh regularly never figured whether could handle exmh multidrop mechanism something grown rely work recent mh version love use mh reading mail remotely handle multiple inbox folder setup regard tom lane exmh user mailing list exmh user redhat com http listman redhat com mailman listinfo exmh user lawrence,0.016686694341271575,0.0031442241968557758
9,1,qualified potential client industry,1,0.0,0,0,1,0,online marketing strategy need client increase sale every month targeted mail marketing proven method return sale database million targeted address reach potential client anywhere world staff creates interactive ad campaign spec ifically targeted client base designed produce staggering response business steady lead source make sure sale team consistently close deal reatest return marketing dollar targeted mail marketing effective way reach global local market small expense compared conventi onal marketing quality work dedicated professional staff ensure ad campai gn successful put educated team marketer work fill form low speak one marketing specialist required input field name web address company name state business phone home phone email address type business removed please click,0.028375573519772778,0.006151742993848257
10,0,brown wifi brown wifi bad,1,0.02702702702702703,0,0,0,1,flickenger others cliff skolnik reilly o con tracked cause annoying flakiness wireless network every second start getting connection refused message browser net utility rob pringles flickenger wrote turn running great network spy app etherpeg promiscuous network sniffer built firewall o time cause computer begin intercepting every packet sent segment wireless network respond rejected message today rob everyone else know going run around tell people running etherpeg turn firewall vice versa ah fickle networking stern mistress link discus thanks rob http www oreillynet com pub wlg http www oreillynet com pub wlg http www quicktopic com boing bfyib hetqsa,0.024989075813851867,0.0062884483937115515
11,0,ilug cv question,0,0.02702702702702703,0,0,0,1,blank,0.00010924186148131964,0.0025974025974025974
12,0,alsa almost made easy,0,0.0,1,1,0,1,followup story made sub package alsa driver called alsa kernel contains kernel module alsa driver contains everything else original package device entry include file doc allow installation single alsa driver package multiple alsa kernel one kernel installed right dependency make mandatory kernel installed rpm people install source still install alsa module source though device thank gordon reporting problem said one comment welcome download http ftp freshrpms net pub freshrpms testing alsa new spec http freshrpms net build alsa driver alsa driver spec running kernel simply rebuild alsa driver source rpm get package running kernel matthias clean custom red hat linux rpm package http freshrpms net red hat linux release valhalla running linux kernel load ac line battery got alsa installed static inbetween mp like great setup digital sound coming front speaker subwoofer rear speaker sound also alsamixer aumix unresponsive well lance wed lance,0.03629560847716845,0.0031442241968557758
13,1,urgent assistance,1,0.02702702702702703,0,0,0,1,meridian east leicester le wz leicester city united kingdom tel,0.0016932488529604543,0.002870813397129186
14,1,see video britney want banned,1,0.0,0,0,1,0,blank,0.00010924186148131964,0.004784688995215311
15,1,webmaster moving foreclosure world premium moving source webmaster save moving cost get free multiple moving cost estimate professional prescreened mover start move right foot easy get free,1,0.0,0,0,1,0,blank,0.00010924186148131964,0.03403964456596035
